judet,nume,xy,vaci,oi,capre,porci,oameni
Alba,Alba Iulia,"389301,508713",376,1997,353,518,65091
Alba,Barabant,"390229,512013",219,907,98,305,2145
Alba,Micesti,"387973,512288",128,1065,199,150,1420
Alba,Oarda,"390212,503499",163,2672,39,623,1830
Alba,Paclisa,"385454,506273",143,1875,12,347,682
Alba,Ciugud,"392297,506058",28,1018,30,230,423
Alba,Drambar,"393697,509427",98,48,6,471,372
Alba,Dumbrava,"391107,505404",49,70,0,122,290
Alba,Hapria,"396668,509771",94,342,36,140,507
Alba,Seusa,"393486,507573",244,196,4,275,606
Alba,Teleac,"393769,510792",89,209,0,173,385
Alba,Abrud,"350387,532371",1184,466,395,272,4820
Alba,Aiud,"400950,535289",1076,2634,600,226,24619
Alba,Aiudul de Sus,"398822,536016",173,395,15,34,2276
Alba,Gambas,"401453,539308",328,322,0,92,578
Alba,Magina,"395798,538745",82,11,199,1,628
Alba,Pagida,"403087,538638",46,609,108,45,165
Alba,Ciumbrud,"404347,534990",111,1390,0,63,1504
Alba,Garbova de Jos,"397096,529656",201,230,109,119,464
Alba,Garbova de Sus,"393611,533421",13,0,0,0,357
Alba,Garbovita,"394997,532235",30,97,0,0,164
Alba,Sancrai,"403539,533428",40,761,0,17,1023
Alba,Blaj,"416688,520245",1933,2363,7,4265,15714
Alba,Petrisat,"416286,522063",101,97,0,242,316
Alba,Tiur,"413935,518394",420,2230,0,281,1765
Alba,Veza,"416691,519177",92,0,0,0,1568
Alba,Manarade,"420056,516254",650,2050,0,270,865
Alba,Spatac,"417892,515950",4,629,0,5,110
Alba,Campeni,"349673,542427",817,261,28,291,5704
Alba,Boncesti,"351235,541880",62,0,0,5,165
Alba,Borlesti,"346226,547468",120,12,0,32,141
Alba,Botesti,"346150,544626",135,7,2,19,158
Alba,Certege,"347793,547929",177,65,0,224,97
Alba,Coasta Vascului,"349892,547749",100,0,0,13,133
Alba,Dandut,"352773,541568",59,0,0,29,116
Alba,Dealu Bistrii,"350276,543582",86,0,0,28,122
Alba,Dealu Capsei,"350943,546847",211,31,2,77,318
Alba,Dric,"349216,546823",196,26,0,173,154
Alba,Fata Abrudului,"350125,540612",108,108,0,26,161
Alba,Floresti,"347200,545321",134,0,0,53,179
Alba,Furduiesti,"351665,539150",180,0,8,87,96
Alba,Mihoesti,"347717,543037",69,65,0,7,186
Alba,Motorasti,"348941,543787",108,0,0,20,108
Alba,Peste Valea Bistrii,"348348,551295",61,16,0,10,61
Alba,Poduri,"349333,540856",121,56,0,11,152
Alba,Sorlita,"346857,543236",22,0,0,25,35
Alba,Tomusesti,"346957,552200",78,0,0,3,85
Alba,Valea Bistrii,"350944,544060",142,3,0,45,379
Alba,Valea Caselor,"348295,546157",150,51,0,6,141
Alba,Varsi,"351349,541526",51,0,0,81,187
Alba,Cugir,"373284,483096",397,1408,85,207,28780
Alba,Bocsitura,"377716,475194",53,0,0,44,87
Alba,Bucuru,"375080,477779",278,1422,0,47,141
Alba,Calene,"378215,482614",180,1238,0,20,121
Alba,Feteni,"371057,479713",107,55,0,24,119
Alba,Goasele,"380055,476467",116,701,0,29,37
Alba,Mugesti,"379488,480736",217,2009,0,148,152
Alba,Vinerea,"371746,488690",125,2608,432,164,2440
Alba,Ocna Mures,"410925,543611",503,4738,72,495,11009
Alba,Cisteiu de Mures,"408391,542643",119,21,0,64,643
Alba,Micoslaca,"406850,541847",110,22,0,0,336
Alba,Razboieni-Cetate,"412964,546563",142,1679,81,100,1508
Alba,Sebes,"388570,496326",472,5719,289,388,23227
Alba,Lancram,"387814,499580",454,1671,0,56,1487
Alba,Petresti,"388007,492233",319,1159,240,170,4120
Alba,Rahau,"392782,490193",308,3549,0,232,920
Alba,Zlatna,"362328,513917",270,4932,359,636,4446
Alba,Botesti,"356780,521771",16,189,8,38,113
Alba,Budeni,"354960,522749",8,0,1,9,88
Alba,Dealu Roatei,"356886,515339",5,84,0,4,49
Alba,Dobrot,"355891,521014",17,122,36,24,30
Alba,Dumbrava,"359800,517180",7,281,0,8,16
Alba,Fenes,"367766,513009",210,6507,84,573,1163
Alba,Galati,"367566,511372",145,2872,12,98,465
Alba,Izvoru Ampoiului,"358547,517955",189,1096,124,268,486
Alba,Patringeni,"365296,511423",94,1206,65,114,412
Alba,Pirita,"357485,516803",57,397,14,76,163
Alba,Podu lui Paul,"364330,512757",0,0,0,74,65
Alba,Runc,"362257,522909",19,0,0,17,52
Alba,Rusi,"353667,525369",78,44,0,0,66
Alba,Suseni,"364500,511986",25,591,42,90,168
Alba,Trampoiele,"356647,518118",419,2407,53,297,593
Alba,Valea Mica,"366410,510210",88,1535,280,223,517
Alba,Valtori,"361729,517636",66,722,102,71,261
Alba,Albac,"343176,551867",298,0,33,331,524
Alba,Barasti,"344977,553095",198,0,0,122,209
Alba,Budaiesti,"343927,555103",189,0,0,80,115
Alba,Cionesti,"344771,554458",143,0,0,81,119
Alba,Costesti,"338760,556138",89,0,0,37,150
Alba,Dealu Lamasoi,"344900,556001",318,0,0,128,263
Alba,Deve,"340917,553414",51,9,0,14,44
Alba,Dupa Plese,"341471,550518",139,0,2,73,174
Alba,Fata,"342964,553499",20,0,2,40,318
Alba,Plesesti,"340676,551805",87,9,0,44,71
Alba,Potionci,"340304,551170",58,0,0,36,88
Alba,Rogoz,"342819,549610",98,0,0,65,112
Alba,Rosesti,"340705,555169",61,9,0,27,65
Alba,Rusesti,"342913,555424",47,0,0,32,71
Alba,Sohodol,"341932,554408",23,3,0,11,37
Alba,Tamboresti,"340167,551833",35,0,0,11,43
Alba,Almasu Mare,"355005,512538",531,3824,295,294,890
Alba,Almasu de Mijloc,"353043,509187",163,330,0,134,238
Alba,Bradet,"352258,513348",40,136,0,5,60
Alba,Cheile Cibului,"358855,505732",64,518,71,62,57
Alba,Cib,"359523,508385",519,4800,747,328,401
Alba,Glod,"357103,508730",345,1108,183,222,271
Alba,Nadastia,"356402,510724",180,1763,117,93,227
Alba,Arieseni,"327117,555474",19,0,0,15,104
Alba,Avramesti,"326330,555797",37,0,0,22,56
Alba,Bubesti,"323559,558893",96,0,0,49,94
Alba,Casa de Piatra,"329475,561866",54,0,0,14,63
Alba,Cobles,"325654,557388",154,0,23,76,240
Alba,Dealu Bajului,"328200,553051",124,0,0,104,178
Alba,Fata Cristesei,"327751,557103",159,0,0,40,211
Alba,Fata Lapusului,"328665,554555",113,20,0,51,144
Alba,Galbena,"325219,554900",141,0,49,125,204
Alba,Hodobana,"328458,559957",68,0,0,24,69
Alba,Izlaz,"324634,556245",92,1051,454,76,143
Alba,Pantesti,"328841,555425",80,0,0,36,124
Alba,Patrahaitesti,"326056,552079",54,0,0,34,83
Alba,Poienita,"324971,559750",53,0,0,17,67
Alba,Ravicesti,"328778,556227",27,0,0,8,34
Alba,Sturu,"330109,554424",40,0,0,10,75
Alba,Stei-Arieseni,"326950,554530",60,0,0,10,91
Alba,Vanvucesti,"324522,555843",13,0,0,16,37
Alba,Avram Iancu,"332136,542108",67,13,0,70,177
Alba,Achimetesti,"330575,545137",21,0,0,17,30
Alba,Avramesti,"332092,545809",25,0,0,0,34
Alba,Badai,"326894,547851",34,0,0,0,36
Alba,Calugaresti,"329154,546740",94,0,0,38,113
Alba,Casoaia,"327213,545563",28,0,0,4,46
Alba,Cindesti,"327804,548621",28,0,0,0,30
Alba,Carasti,"332850,544323",37,0,0,0,38
Alba,Cartulesti,"329542,545304",34,0,0,8,51
Alba,Cocesti,"331110,542488",17,0,0,0,93
Alba,Cocosesti,"331125,543917",2,0,0,0,29
Alba,Coroiesti,"331478,541919",24,0,0,1,62
Alba,Dealu Crisului,"333263,539722",18,0,0,0,9
Alba,Dolesti,"333233,543280",27,0,0,0,118
Alba,Dumacesti,"330050,546158",36,0,0,0,56
Alba,Gojeiesti,"332480,544608",26,0,0,0,62
Alba,Heleresti,"333445,541802",53,0,0,27,61
Alba,Incesti,"334472,542053",33,0,0,21,74
Alba,Jojei,"332704,541084",20,0,0,11,48
Alba,Martesti,"335072,542085",51,0,0,39,67
Alba,Orgesti,"330498,544197",26,0,0,0,75
Alba,Patrutesti,"334321,543831",43,0,0,0,65
Alba,Plai,"328273,546693",30,0,0,0,75
Alba,Puselesti,"335090,542353",17,0,0,0,21
Alba,Soicesti,"332402,542674",15,0,0,0,50
Alba,Stertesti,"333461,540988",1,0,0,0,13
Alba,Tarsa,"330077,544853",100,0,0,61,358
Alba,Tarsa-Plai,"328672,546045",19,0,0,0,33
Alba,Valea Maciului,"332299,540178",17,0,0,8,20
Alba,Valea Utului,"331867,541169",5,0,0,0,53
Alba,Verdesti,"329564,544859",39,0,0,39,100
Alba,Vidrisoara,"332188,540427",87,0,0,38,106
Alba,Baia de Aries,"367513,543765",388,129,10,317,3521
Alba,Brazesti,"370380,545665",145,0,3,64,315
Alba,Cioara de Sus,"369962,543228",132,0,0,0,303
Alba,Muncelu,"365441,543142",199,287,228,333,421
Alba,Sartas,"368680,544893",274,20,0,166,490
Alba,Simulesti,"370369,540724",5,0,0,11,11
Alba,Berghin,"402172,509255",53,6690,3,594,652
Alba,Ghirbom,"400851,504658",174,6052,0,448,696
Alba,Henig,"401567,512539",51,1293,1,349,503
Alba,Straja,"398038,508314",37,5196,142,287,409
Alba,Bistra,"353658,543649",557,28,93,190,1597
Alba,Aronesti,"356363,550398",12,0,0,0,12
Alba,Balesti,"353165,548053",58,0,0,33,38
Alba,Balesti-Catun,"353185,548475",101,0,0,0,85
Alba,Barlesti,"355418,541617",71,0,0,3,81
Alba,Cheleteni,"353128,551472",21,0,0,0,30
Alba,Ciuldesti,"354054,545593",149,0,0,47,284
Alba,Cretesti,"353763,541528",97,0,0,25,220
Alba,Dealu Muntelui,"354858,544685",51,0,0,24,265
Alba,Dambureni,"351626,548799",38,0,0,3,70
Alba,Durasti,"353423,549327",92,0,0,0,84
Alba,Ganesti,"355702,545061",82,0,0,0,150
Alba,Garde,"356699,544757",201,109,0,4,437
Alba,Hodisesti,"352289,545853",154,7,2,5,322
Alba,Hudricesti,"353550,544984",140,9,0,40,145
Alba,Lipaia,"352517,545088",100,0,0,11,198
Alba,Lunca Larga,"355825,543835",46,0,0,5,125
Alba,Lunca Merilor,"353155,542513",32,0,0,79,154
Alba,Mihaiesti,"354263,541038",21,3,0,0,57
Alba,Namas,"355573,546055",23,2,0,1,73
Alba,Novacesti,"356401,548747",29,2,0,0,52
Alba,Perjesti,"356831,540383",4,0,0,0,21
Alba,Poiana,"353860,550606",105,0,0,0,116
Alba,Poiu,"353026,544708",46,18,0,4,63
Alba,Ratitis,"352761,546934",104,0,0,43,120
Alba,Runcuri,"357764,547731",23,0,0,0,20
Alba,Salagesti,"352044,546322",22,0,0,0,48
Alba,Stefanca,"355874,542745",24,0,0,0,52
Alba,Tolacesti,"356762,540870",22,0,0,0,56
Alba,Tomnatec,"352874,550102",17,0,0,0,20
Alba,Trisoresti,"356004,547585",47,0,0,0,154
Alba,Taranesti,"354987,546462",52,3,0,11,50
Alba,Varsi-Rontu,"357725,539686",11,0,0,0,33
Alba,Varsii Mari,"355735,539095",23,0,0,0,19
Alba,Varsii Mici,"354638,540530",68,8,0,0,110
Alba,Blandiana,"374686,498570",120,756,6,79,673
Alba,Acmariu,"372744,497525",78,89,43,45,503
Alba,Poieni,"371196,505467",20,100,0,3,16
Alba,Racatau,"369962,505048",51,182,0,0,51
Alba,Bucium,"359176,530959",28,83,0,0,119
Alba,Anghelesti,"352859,529050",50,126,0,0,91
Alba,Bisericani,"357805,533977",42,0,0,0,39
Alba,Bucium-Sat,"354674,530710",118,4,0,49,204
Alba,Cerbu,"353551,529191",84,15,10,0,126
Alba,Ciuculesti,"359670,530683",42,0,0,0,68
Alba,Coleseni,"355808,529107",35,0,0,23,79
Alba,Dogaresti,"355285,531718",10,0,0,0,21
Alba,Feresti,"353468,528590",56,129,0,0,45
Alba,Floresti,"356710,533644",28,0,0,0,27
Alba,Gura Izbitei,"357562,529232",2,0,0,0,35
Alba,Helesti,"356485,533076",10,0,0,0,34
Alba,Izbicioara,"358147,528699",6,0,0,23,22
Alba,Izbita,"356299,528710",6,12,0,0,73
Alba,Jurcuiesti,"359697,534417",14,0,0,0,10
Alba,Lupulesti,"360261,529750",11,0,0,0,45
Alba,Magura,"356386,529107",24,0,0,0,33
Alba,Muntari,"357212,534264",4,0,0,0,11
Alba,Poiana,"358583,534966",61,0,0,0,35
Alba,Poieni,"361142,528844",132,145,0,8,143
Alba,Stalnisoara,"361131,528090",21,0,0,20,28
Alba,Valea Abruzel,"355904,531016",119,62,0,63,146
Alba,Valea Alba,"361420,529805",42,0,0,31,117
Alba,Valea Cerbului,"354368,528356",97,105,0,4,89
Alba,Valea Negrilesii,"362044,527886",134,0,0,0,133
Alba,Valea Poienii,"356261,526710",61,54,50,30,47
Alba,Valea Sesii,"359289,532227",64,0,0,30,219
Alba,Valeni,"357455,532513",13,0,0,0,21
Alba,Valcea,"357987,531231",15,0,0,0,45
Alba,Cenade,"423129,507048",322,7143,199,424,1099
Alba,Capu Dealului,"424316,510345",5,0,5,6,11
Alba,Cergau Mare,"416443,511534",547,3842,0,393,1037
Alba,Cergau Mic,"417804,509781",228,4590,0,234,382
Alba,Lupu,"420441,511363",54,3229,1,201,375
Alba,Ceru-Bacainti,"365651,498533",65,61,0,115,88
Alba,Bolovanesti,"364406,501452",44,200,0,14,26
Alba,Bulbuc,"367524,503760",26,535,0,28,51
Alba,Cucuta,"364570,500300",93,316,0,107,68
Alba,Curpeni,"366498,499724",59,74,0,29,54
Alba,Dumbravita,"365237,499563",99,48,0,97,56
Alba,Fantinele,"365538,504678",22,598,0,111,45
Alba,Grosi,"363739,502154",53,448,0,4,47
Alba,Valea Mare,"364899,503932",32,441,0,110,42
Alba,Viezuri,"367503,501800",3,0,0,0,17
Alba,Cetatea de Balta,"435977,527891",261,3550,44,110,2031
Alba,Craciunelu de Sus,"436679,519468",71,600,0,3,259
Alba,Santamarie,"433993,527234",8,1,4,1,348
Alba,Tatarlaua,"435479,522874",104,1602,0,9,785
Alba,Ciuruleasa,"347917,530329",1735,405,36,211,618
Alba,Calnic,"395591,488319",212,3636,175,281,1209
Alba,Cut,"396318,494167",112,4802,0,318,1391
Alba,Deal,"393073,485260",86,669,0,194,515
Alba,Cricau,"389152,520605",155,1614,836,848,1191
Alba,Craiva,"385861,521908",62,575,390,86,376
Alba,Tibru,"388810,522862",146,1100,65,86,441
Alba,Craciunelu de Jos,"409816,519871",388,2852,0,797,2028
Alba,Bucerdea Granoasa,"410135,522089",837,5475,0,1884,2198
Alba,Cornu,"408293,525272",23,407,7,30,33
Alba,Padure,"413417,522431",24,641,0,29,42
Alba,Panca,"413936,525579",62,1030,0,104,25
Alba,Daia Romana,"396518,501653",696,3326,60,1753,3080
Alba,Dostat,"410026,497443",347,2493,3,26,623
Alba,Boz,"406970,494951",543,2197,0,43,371
Alba,Dealu Dostatului,"410786,496739",1,144,0,0,24
Alba,Farau,"423370,538043",223,7695,0,227,736
Alba,Heria,"421283,541046",196,1761,96,171,383
Alba,Medves,"427716,534417",200,0,0,102,263
Alba,Sanbenedic,"426589,535391",61,2713,0,100,373
Alba,Silea,"431549,536726",408,18700,8,130,490
Alba,Galda de Jos,"393357,520856",626,13301,238,284,1885
Alba,Benic,"390962,524653",84,989,53,49,508
Alba,Cetea,"390521,527395",85,577,135,165,559
Alba,Galda de Sus,"388854,525780",141,335,80,74,467
Alba,Mesentea,"391882,522434",78,71,9,31,216
Alba,Oiejdea,"394151,518468",204,1723,31,306,886
Alba,Poiana Galdei,"386401,527922",36,235,40,31,174
Alba,Raicani,"383758,530915",55,154,0,0,46
Alba,Garbova,"400651,485289",2494,5521,0,206,1460
Alba,Carpinis,"395645,482163",1,1370,45,9,334
Alba,Reciu,"396785,485985",31,1011,2,61,273
Alba,Garda de Sus,"332797,552983",172,116,24,244,431
Alba,Biharia,"327994,550033",79,0,0,88,124
Alba,Dealu Frumos,"332854,556532",100,0,0,76,103
Alba,Dealu Ordincusii,"333693,559191",32,0,0,10,29
Alba,Dobresti,"332112,554507",60,0,0,13,67
Alba,Ghetari,"332241,557075",156,0,0,94,126
Alba,Garda Seaca,"331426,555437",121,0,0,152,149
Alba,Hanasesti,"332597,556064",94,0,0,29,112
Alba,Huzaresti,"333870,551738",60,0,0,28,111
Alba,Izvoarele,"333274,553322",13,0,0,7,69
Alba,Mununa,"333203,554581",137,7,0,111,92
Alba,Ocoale,"331536,558913",410,0,0,252,310
Alba,Plai,"332163,551208",118,0,0,20,150
Alba,Plisti,"330513,556415",15,0,0,0,38
Alba,Scoarta,"327980,550982",30,0,0,75,28
Alba,Sucesti,"330076,550952",61,0,0,35,71
Alba,Snide,"329830,552275",84,0,0,23,120
Alba,Hoparta,"412885,536335",70,1274,82,90,407
Alba,Silivas,"413180,538570",20,960,0,5,218
Alba,Spalnaca,"415688,538507",48,1116,0,20,329
Alba,Turdas,"416413,534603",76,3288,0,0,361
Alba,Vama Seaca,"418293,539054",359,2935,418,327,243
Alba,Horea,"342170,557889",105,0,0,114,293
Alba,Baba,"343317,557871",39,0,0,21,45
Alba,Butesti,"341673,558685",58,0,0,64,88
Alba,Darlesti,"340208,559564",259,0,0,150,378
Alba,Fericet,"341383,556218",174,0,0,94,204
Alba,Giurgiut,"342206,559995",105,0,0,84,104
Alba,Mancesti,"342587,556922",77,0,0,66,87
Alba,Matisesti,"338491,558701",337,0,0,332,464
Alba,Niculesti,"342740,558130",62,0,0,50,51
Alba,Patrusesti,"344217,560259",177,0,0,100,190
Alba,Petreasa,"341683,561589",68,0,0,28,69
Alba,Preluca,"344230,558701",117,0,0,56,95
Alba,Teiu,"344702,558479",102,0,0,125,78
Alba,Trifesti,"340741,560583",97,0,0,35,108
Alba,Zanzesti,"342777,561310",95,0,0,16,82
Alba,Ighiu,"385038,517238",1284,14065,184,2693,1172
Alba,Bucerdea Vinoasa,"386030,519201",270,2835,1038,472,1091
Alba,Ighiel,"382171,517442",134,4577,436,74,1055
Alba,Sard,"386436,515288",432,3092,5,318,1861
Alba,Telna,"383848,518768",331,6410,817,307,1222
Alba,Intregalde,"377098,527643",416,718,47,58,124
Alba,Dealu Geoagiului,"378714,532374",1,0,0,0,112
Alba,Ghioncani,"370682,528204",62,246,0,0,130
Alba,Ivanis,"375453,526468",46,5,0,5,116
Alba,Marinesti,"375679,531331",2,0,0,2,28
Alba,Necrilesti,"373492,524621",197,132,0,54,215
Alba,Sfarcea,"369086,525515",7,0,0,0,88
Alba,Tecsesti,"382384,531641",144,559,69,9,69
Alba,Jidvei,"431241,525092",37,1164,3,96,1265
Alba,Balcaciu,"427312,521682",572,4200,605,109,1103
Alba,Capalna de Jos,"431372,527058",37,6757,128,40,913
Alba,Feisa,"433822,525484",31,1368,238,61,1026
Alba,Veseus,"433713,530875",73,3635,148,106,1047
Alba,Livezile,"394626,539684",120,757,163,85,843
Alba,Izvoarele,"387110,545628",104,7,81,5,337
Alba,Poiana Aiudului,"392386,541513",58,5,574,30,515
Alba,Valisoara,"389221,544057",76,0,5,0,278
Alba,Lopadea Noua,"408707,533012",550,2624,0,358,1132
Alba,Asinip,"414124,533690",63,692,0,17,230
Alba,Beta,"408361,528871",107,601,0,203,549
Alba,Bagau,"406805,535216",90,75,0,166,623
Alba,Ciuguzel,"411765,532132",59,1081,0,208,749
Alba,Ocnisoara,"413134,528772",3,766,0,7,51
Alba,Odverem,"410156,529382",5,0,0,0,88
Alba,Lunca Muresului,"415812,548283",488,1552,68,303,2105
Alba,Gura Ariesului,"419595,548288",215,656,0,113,542
Alba,Lupsa,"361521,542551",325,71,0,224,767
Alba,Bardesti,"360015,536037",13,0,0,2,21
Alba,Barzan,"363739,541516",38,0,0,21,48
Alba,Curmatura,"362071,538987",25,0,0,1,51
Alba,Dupa Deal,"358112,538994",32,0,0,35,92
Alba,Geamana,"361913,538033",7,0,0,1,7
Alba,Hadarau,"361455,542027",214,13,0,110,364
Alba,Holobani,"363593,537123",21,0,0,1,23
Alba,Lazuri,"358974,539593",222,63,10,130,350
Alba,Lunca,"362520,543638",83,174,0,150,131
Alba,Manastire,"358853,544146",28,49,59,33,85
Alba,Margaia,"363332,541956",4,0,0,0,10
Alba,Musca,"358805,541269",369,11,0,278,583
Alba,Pitiga,"358650,543077",98,0,7,43,206
Alba,Parau-Carbunari,"361721,541000",32,5,0,13,45
Alba,Posogani,"360744,542101",54,0,0,13,80
Alba,Trifesti,"361029,537229",15,0,0,3,19
Alba,Valea Holhorii,"360873,537022",36,69,0,1,40
Alba,Valea Lupsii,"363210,543844",360,13,0,220,737
Alba,Valea Sesii,"364055,543445",47,0,0,14,81
Alba,Vai,"361562,540106",115,0,0,88,168
Alba,Vinta,"362926,536697",171,156,0,21,87
Alba,Metes,"377810,512023",205,3124,0,256,444
Alba,Ampoita,"379816,514242",171,2468,165,199,700
Alba,Isca,"376385,512863",21,419,0,0,16
Alba,Lunca Ampoitei,"374832,516825",113,1557,1,83,186
Alba,Lunca Metesului,"373382,516821",66,1174,0,25,130
Alba,Padurea,"382661,512052",8,162,0,0,66
Alba,Poiana Ampoiului,"375400,511138",106,2919,78,238,337
Alba,Presaca Ampoiului,"370444,512119",120,2165,58,392,464
Alba,Remetea,"378092,514544",16,114,41,0,26
Alba,Tauti,"381144,511820",154,967,686,402,638
Alba,Valeni,"377993,511542",38,510,2,126,287
Alba,Mihalt,"401392,518647",406,6113,14,3009,2392
Alba,Cistei,"403472,521498",54,2382,156,226,671
Alba,Obreja,"404370,520145",26,2415,0,573,809
Alba,Zaries,"399863,521238",2,339,0,14,0
Alba,Miraslau,"400271,541573",1492,1160,111,15896,924
Alba,Cicau,"398105,545304",143,344,7,65,260
Alba,Decea,"404647,543357",265,990,133,336,727
Alba,Lopadea Veche,"396873,542874",43,1221,126,104,417
Alba,Ormenis,"401084,544896",79,103,510,49,127
Alba,Rachis,"394003,544806",12,0,0,0,40
Alba,Mogos,"367035,532064",331,765,0,23,158
Alba,Barbesti,"371034,532029",53,0,0,25,49
Alba,Barlesti,"367630,530545",340,225,84,38,149
Alba,Barlesti-Catun,"374903,533263",55,0,0,5,35
Alba,Barzogani,"372278,535262",97,756,0,5,45
Alba,Bocesti,"372211,532920",26,0,0,6,37
Alba,Bogdanesti,"372310,533759",28,0,0,8,21
Alba,Butesti,"372391,534398",73,0,0,6,54
Alba,Cojocani,"373865,532739",66,0,0,20,72
Alba,Cristesti,"368902,532482",87,16,0,6,90
Alba,Mamaligani,"366967,534037",86,619,0,11,60
Alba,Negresti,"370025,531248",45,0,0,1,22
Alba,Poienile-Mogos,"364235,532226",340,10,0,49,183
Alba,Tomesti,"373573,534573",39,0,0,0,36
Alba,Valea Barlutesti,"366310,535037",100,39,0,5,48
Alba,Valea Barnii,"371698,531321",160,36,117,29,137
Alba,Valea Cocesti,"367730,534397",84,0,0,5,38
Alba,Valea Giogesti,"367374,535642",94,217,0,2,60
Alba,Valea Mlacii,"366614,527359",211,36,0,4,111
Alba,Valea Tupilor,"365710,530737",91,0,0,17,69
Alba,Noslac,"417543,545663",116,2830,657,457,884
Alba,Captalan,"418472,546047",95,1135,51,244,396
Alba,Copand,"421425,547203",60,865,2,165,234
Alba,Gabud,"423871,545967",43,563,344,97,335
Alba,Stana de Mures,"422677,547767",29,313,0,93,217
Alba,Valea Ciuciului,"422428,545843",9,52,0,1,91
Alba,Ocolis,"381956,554292",484,459,0,137,519
Alba,Lunca Larga,"378915,559573",57,0,0,22,116
Alba,Runc,"380903,556855",210,1,0,44,203
Alba,Vidolm,"385615,554539",40,0,0,36,161
Alba,Ohaba,"406048,508559",189,2284,14,165,706
Alba,Colibi,"405824,513155",12,528,0,21,93
Alba,Maghierat,"408347,506568",34,103,0,0,12
Alba,Secasel,"407663,511254",151,956,0,829,344
Alba,Pianu de Sus,"381965,489599",244,2289,158,652,1706
Alba,Pianu de Jos,"382457,493921",549,1944,0,139,1142
Alba,Plaiuri,"383985,482956",116,969,0,14,99
Alba,Purcareti,"382270,482253",696,5253,0,560,385
Alba,Strungari,"383415,485263",70,970,0,45,220
Alba,Poiana Vadului,"336686,546155",280,22,13,218,190
Alba,Costesti,"334685,547347",247,0,0,146,201
Alba,Duduieni,"335125,546789",77,2,0,23,125
Alba,Fagetu de Jos,"338565,546937",86,8,0,53,119
Alba,Fagetu de Sus,"333198,546380",75,0,0,6,177
Alba,Hanasesti,"334373,545748",77,0,0,47,116
Alba,Lupaiesti,"338892,547772",55,3,0,47,48
Alba,Morcanesti,"339528,547606",22,0,0,6,46
Alba,Pastesti,"332773,547344",154,0,0,65,182
Alba,Petelei,"332849,548795",93,0,0,40,96
Alba,Stanesti,"336620,548020",260,0,0,137,166
Alba,Ponor,"376607,538489",483,575,0,52,158
Alba,Dupa Deal,"379168,536113",332,492,50,95,125
Alba,Geogel,"374954,535697",352,422,270,19,234
Alba,Macaresti,"376022,533863",40,0,0,2,62
Alba,Valea Bucurului,"374108,537082",205,113,0,4,78
Alba,Vale In Jos,"379194,540034",337,2,0,44,229
Alba,Posaga de Jos,"379742,549078",219,210,0,233,542
Alba,Incesti,"368138,552353",12,160,0,0,3
Alba,Lunca,"381237,550003",87,283,89,73,255
Alba,Orasti,"371976,551364",94,420,0,98,162
Alba,Posaga de Sus,"375331,552706",180,22,6,56,268
Alba,Sagagea,"370169,555481",298,252,0,93,356
Alba,Radesti,"401296,531129",95,576,7,292,724
Alba,Leorint,"401411,529025",131,1277,7,187,359
Alba,Mescreac,"402535,527712",38,662,56,186,277
Alba,Soimus,"406239,526045",23,635,0,68,99
Alba,Rametea,"389681,551374",92,912,755,71,640
Alba,Coltesti,"389177,548028",246,828,495,219,753
Alba,Ramet,"386326,536011",93,1,98,2,63
Alba,Botani,"379132,532958",9,0,0,2,8
Alba,Bradesti,"381817,538133",58,0,0,0,61
Alba,Cotorasti,"387690,537816",150,0,0,3,139
Alba,Floresti,"383881,538556",94,0,0,2,53
Alba,Olteni,"386605,539103",38,0,0,0,41
Alba,Valea Fagetului,"385329,536579",58,0,0,10,64
Alba,Valea Inzelului,"384684,537987",117,0,0,6,117
Alba,Valea Manastirii,"385838,534568",39,20,0,9,158
Alba,Valea Poienii,"382000,539571",69,189,0,0,93
Alba,Valea Uzei,"384878,535855",71,0,0,0,104
Alba,Vladesti,"388771,535352",51,113,0,0,52
Alba,Rosia Montana,"355779,535782",1652,394,29,48,1556
Alba,Rosia de Secas,"413726,506932",192,3254,0,65,851
Alba,Tau,"410142,508508",282,3164,28,30,582
Alba,Ungurei,"409033,502512",44,5201,0,20,350
Alba,Salciua de Jos,"378205,545527",235,644,456,218,689
Alba,Dealu Caselor,"375536,543546",110,2,0,53,132
Alba,Dumesti,"379133,542551",52,6,0,5,111
Alba,Salciua de Sus,"376737,544998",437,143,0,156,627
Alba,Sub Piatra,"380055,543902",142,125,50,97,192
Alba,Valea Larga,"376542,541966",144,357,0,26,188
Alba,Salistea,"375297,490965",195,2328,206,199,1272
Alba,Margineni,"376682,491726",116,1273,0,58,100
Alba,Salistea-Deal,"377420,490261",13,0,0,0,255
Alba,Tartaria,"376534,493845",95,3025,42,84,747
Alba,Sasciori,"389142,487485",210,5139,27,64,1505
Alba,Capalna,"391235,483871",269,4603,1,148,942
Alba,Dumbrava,"391368,487941",22,608,0,48,116
Alba,Laz,"389489,486357",53,406,0,24,466
Alba,Loman,"387284,485209",748,8947,0,373,617
Alba,Plesi,"389576,479197",274,2397,0,157,150
Alba,Rachita,"384507,487218",165,1602,393,226,737
Alba,Sebesel,"388347,488524",322,1397,269,135,1094
Alba,Tonea,"385656,479457",802,8256,0,195,317
Alba,Scarisoara,"336437,553002",266,0,49,219,791
Alba,Barlesti,"336843,548889",8,0,0,6,41
