judet,nume,xy
AB,Alba Iulia,"389679,508709"
AB,Bărăbanț,"390604,512008"
AB,Micești,"388356,512283"
AB,Oarda,"390587,503496"
AB,Pâclișa,"385845,506269"
AB,Ciugud,"392665,506054"
AB,Drâmbar,"394060,509423"
AB,Limba,"391479,505400"
AB,Hăpria,"397021,509767"
AB,Șeușa,"393850,507569"
AB,Teleac,"394132,510788"
AB,Abrud,"350900,532359"
AB,Abrud-Sat,"350603,533123"
AB,Gura Cornei,"352855,530825"
AB,Soharu,"348067,532821"
AB,Aiud,"401290,535280"
AB,Aiudul de Sus,"399169,536007"
AB,Gâmbaș,"401791,539298"
AB,Măgina,"396156,538735"
AB,Păgida,"403420,538628"
AB,Ciumbrud,"404675,534981"
AB,Gârbova de Jos,"397449,529648"
AB,Gârbova de Sus,"393976,533412"
AB,Gârbovița,"395357,532226"
AB,Sâncrai,"403870,533420"
AB,Țifra,"399374,529524"
AB,Blaj,"416973,520240"
AB,Deleni-Obârșie,"411263,511236"
AB,Flitești,"412741,513280"
AB,Izvoarele,"415364,519487"
AB,Petrisat,"416573,522058"
AB,Tiur,"414229,518389"
AB,Veza,"416976,519172"
AB,Mănărade,"420329,516250"
AB,Spătac,"418173,515946"
AB,Câmpeni,"350189,542413"
AB,Boncești,"351745,541866"
AB,Borlești,"346754,547453"
AB,Botești,"346678,544611"
AB,Certege,"348316,547914"
AB,Coasta Vâscului,"350407,547734"
AB,Dănduț,"353278,541555"
AB,Dealu Bistrii,"350790,543568"
AB,Dealu Capsei,"351455,546832"
AB,Dric,"349734,546808"
AB,Fața Abrudului,"350639,540599"
AB,Florești,"347725,545306"
AB,Furduiești,"352174,539137"
AB,Mihoești,"348240,543023"
AB,Motorăști,"349459,543773"
AB,Peste Valea Bistrii,"348869,551279"
AB,Poduri,"349850,540842"
AB,Sorlița,"347383,543222"
AB,Tomușești,"347483,552184"
AB,Valea Bistrii,"351456,544046"
AB,Valea Caselor,"348816,546142"
AB,Vârși,"351859,541512"
AB,Cugir,"373715,483095"
AB,Bocșitura,"378131,475194"
AB,Bucuru,"375505,477779"
AB,Călene,"378629,482613"
AB,Fețeni,"371495,479712"
AB,Goașele,"380463,476467"
AB,Mugești,"379898,480736"
AB,Vinerea,"372183,488688"
AB,Ocna Mureș,"411231,543601"
AB,Uioara de Jos,"410661,541868"
AB,Uioara de Sus,"414021,543957"
AB,Cisteiu de Mureș,"408706,542633"
AB,Micoșlaca,"407170,541837"
AB,Războieni-Cetate,"413263,546552"
AB,Sebeș,"388950,496324"
AB,Lancrăm,"388197,499577"
AB,Petrești,"388388,492231"
AB,Răhău,"393147,490192"
AB,Zlatna,"362798,513910"
AB,Botești,"357270,521762"
AB,Budeni,"355456,522740"
AB,Dealu Roatei,"357375,515331"
AB,Dobrot,"356384,521005"
AB,Dumbrava,"360279,517172"
AB,Feneș,"368218,513003"
AB,Galați,"368018,511366"
AB,Izvoru Ampoiului,"359031,517947"
AB,Pătrângeni,"365756,511417"
AB,Pirita,"357972,516795"
AB,Pârau Gruiului,"359852,518856"
AB,Podu lui Paul,"364793,512750"
AB,Runc,"362728,522900"
AB,Ruși,"354168,525359"
AB,Suseni,"364963,511980"
AB,Trâmpoiele,"357137,518110"
AB,Valea Mică,"366866,510204"
AB,Vâltori,"362202,517628"
AB,Albac,"343715,551850"
AB,Bărăști,"345510,553078"
AB,Budăiești,"344464,555086"
AB,Cionești,"345305,554441"
AB,Costești,"339314,556120"
AB,Dealu Lămășoi,"345433,555983"
AB,Deve,"341464,553397"
AB,După Pleșe,"342016,550502"
AB,Fața,"343504,553482"
AB,Pleșești,"341223,551788"
AB,Potionci,"340853,551153"
AB,Rogoz,"343359,549594"
AB,Roșești,"341253,555151"
AB,Rusești,"343453,555406"
AB,Sohodol,"342475,554391"
AB,Tamborești,"340716,551816"
AB,Almașu Mare,"355500,512531"
AB,Almașu de Mijloc,"353545,509180"
AB,Brădet,"352763,513340"
AB,Cheile Cibului,"359337,505726"
AB,Cib,"360003,508379"
AB,Glod,"357591,508724"
AB,Nădăștia,"356892,510717"
AB,Arieșeni,"327711,555455"
AB,Avrămești,"326927,555778"
AB,Bubești,"324166,558873"
AB,Casa de Piatră,"330062,561846"
AB,Cobleș,"326253,557368"
AB,Dealu Bajului,"328790,553033"
AB,Fața Cristesei,"328343,557084"
AB,Fața Lăpușului,"329254,554536"
AB,Galbena,"325820,554881"
AB,Hodobana,"329048,559937"
AB,Izlaz,"325237,556226"
AB,Păntești,"329429,555406"
AB,Pătrăhăițești,"326654,552061"
AB,Poienița,"325573,559730"
AB,Ravicești,"329367,556208"
AB,Sturu,"330693,554406"
AB,Ștei-Arieșeni,"327545,554511"
AB,Vanvucești,"325125,555824"
AB,Avram Iancu,"332712,542093"
AB,Achimețești,"331156,545121"
AB,Avrămești,"332668,545793"
AB,Bădăi,"327488,547834"
AB,Boldești,"333600,540346"
AB,Călugărești,"329740,546723"
AB,Căsoaia,"327806,545546"
AB,Cândești,"328395,548604"
AB,Cârăști,"333424,544307"
AB,Cârțulești,"330127,545288"
AB,Cocești,"331689,542473"
AB,Cocoșești,"331704,543901"
AB,Coroiești,"332056,541904"
AB,Dealu Crișului,"333835,539707"
AB,Dolești,"333805,543265"
AB,Dumăcești,"330633,546142"
AB,Gojeiești,"333055,544592"
AB,Helerești,"334016,541787"
AB,Incești,"335040,542038"
AB,Jojei,"333278,541069"
AB,Mărtești,"335638,542070"
AB,Orgești,"331080,544181"
AB,Pătruțești,"334890,543816"
AB,Plai,"328863,546676"
AB,Pușelești,"335656,542338"
AB,Șoicești,"332977,542659"
AB,Ștertești,"334032,540973"
AB,Târsa,"330660,544837"
AB,Târsa-Plai,"329260,546029"
AB,Valea Maciului,"332874,540163"
AB,Valea Uțului,"332444,541154"
AB,Verdești,"330149,544843"
AB,Vidrișoara,"332764,540412"
AB,Baia de Arieș,"367968,543752"
AB,Brăzești,"370825,545652"
AB,Cioara de Sus,"370408,543215"
AB,Muncelu,"365903,543129"
AB,Sartăș,"369131,544880"
AB,Simulești,"370814,540712"
AB,Berghin,"402506,509251"
AB,Ghirbom,"401189,504655"
AB,Henig,"401903,512535"
AB,Straja,"398386,508310"
AB,Bistra,"354160,543635"
AB,Aronești,"356856,550383"
AB,Bălești,"353669,548038"
AB,Bălești-Cătun,"353689,548460"
AB,Bârlești,"355914,541604"
AB,Cheleteni,"353633,551456"
AB,Ciuldești,"354555,545579"
AB,Crețești,"354265,541515"
AB,Dealu Muntelui,"355356,544671"
AB,Dâmbureni,"352136,548784"
AB,Durăști,"353926,549312"
AB,Gănești,"356197,545047"
AB,Gârde,"357191,544743"
AB,Hodișești,"352796,545839"
AB,Hudricești,"354053,544970"
AB,Lipaia,"353023,545074"
AB,Lunca Largă,"356320,543821"
AB,Lunca Merilor,"353659,542499"
AB,Mihăiești,"354763,541025"
AB,Nămaș,"356069,546041"
AB,Novăcești,"356894,548732"
AB,Perjești,"357322,540370"
AB,Poiana,"354362,550590"
AB,Poiu,"353530,544694"
AB,Rătitiș,"353267,546919"
AB,Runcuri,"358252,547716"
AB,Sălăgești,"352552,546307"
AB,Ștefanca,"356369,542732"
AB,Tolăcești,"357253,540857"
AB,Tomnatec,"353379,550087"
AB,Trișorești,"356499,547570"
AB,Țărănești,"355485,546448"
AB,Vârși-Rontu,"358213,539673"
AB,Vârșii Mari,"356230,539082"
AB,Vârșii Mici,"355137,540517"
AB,Blandiana,"375113,498567"
AB,Acmariu,"373178,497522"
AB,Ibru,"373306,503650"
AB,Poieni,"371636,505462"
AB,Răcătău,"370406,505043"
AB,Bucium,"359658,530948"
AB,Anghelești,"353363,529039"
AB,Bisericani,"358292,533966"
AB,Bucium-Sat,"355172,530699"
AB,Cerbu,"354053,529180"
AB,Ciuculești,"360151,530673"
AB,Coleșeni,"356302,529097"
AB,Dogărești,"355781,531707"
AB,Ferești,"353970,528579"
AB,Florești,"357201,533633"
AB,Gura Izbitei,"358050,529222"
AB,Helești,"356977,533065"
AB,Izbicioara,"358633,528689"
AB,Izbita,"356791,528700"
AB,Jurcuiești,"360178,534406"
AB,Lupulești,"360740,529740"
AB,Măgura,"356878,529097"
AB,Muntari,"357701,534253"
AB,Petreni,"358596,534368"
AB,Poiana,"359068,534954"
AB,Poieni,"361618,528834"
AB,Stâlnișoara,"361607,528080"
AB,Valea Abruzel,"356398,531005"
AB,Valea Albă,"361895,529795"
AB,Valea Cerbului,"354867,528346"
AB,Valea Negrilesii,"362516,527876"
AB,Valea Poienii,"356753,526700"
AB,Valea Șesii,"359771,532216"
AB,Văleni,"357943,532502"
AB,Vâlcea,"358473,531220"
AB,Cenade,"423392,507046"
AB,Capu Dealului,"424575,510342"
AB,Gorgan,"423244,510851"
AB,Cergău Mare,"416729,511531"
AB,Cergău Mic,"418085,509778"
AB,Lupu,"420713,511360"
AB,Ceru-Băcăinți,"366109,498529"
AB,Bolovănești,"364868,501447"
AB,Bulbuc,"367976,503755"
AB,Cucuta,"365032,500296"
AB,Curpeni,"366953,499720"
AB,Dumbrăvița,"365696,499559"
AB,Fântânele,"365997,504673"
AB,Groși,"364204,502149"
AB,Valea Mare,"365360,503927"
AB,Viezuri,"367955,501796"
AB,Cetatea de Baltă,"436197,527885"
AB,Craciunelu de Sus,"436896,519464"
AB,Sântămărie,"434219,527228"
AB,Tătârlaua,"435700,522869"
AB,Ciuruleasa,"348438,530318"
AB,Bidigești,"347228,530791"
AB,Bodrești,"343755,532382"
AB,Boglești,"346798,530497"
AB,Buninginea,"348710,527045"
AB,Ghedulești,"351191,527971"
AB,Mătișești,"346177,527671"
AB,Morărești,"347587,526633"
AB,Vulcan,"343741,528718"
AB,Câlnic,"395946,488318"
AB,Cut,"396671,494166"
AB,Deal,"393437,485260"
AB,Cricău,"389531,520599"
AB,Craiva,"386252,521901"
AB,Tibru,"389191,522855"
AB,Crăciunelu de Jos,"410125,519866"
AB,Bucerdea Grânoasă,"410443,522083"
AB,Cornu,"408607,525266"
AB,Pădure,"413713,522425"
AB,Pânca,"414231,525573"
AB,Daia Română,"396871,501650"
AB,Doștat,"410333,497442"
AB,Boz,"407287,494950"
AB,Dealu Doștatului,"411090,496738"
AB,Fărău,"423633,538035"
AB,Heria,"421553,541037"
AB,Medveș,"427964,534409"
AB,Sânbenedic,"426841,535383"
AB,Șilea,"431784,536718"
AB,Galda de Jos,"393722,520850"
AB,Benic,"391335,524646"
AB,Cetea,"390896,527387"
AB,Galda de Sus,"389235,525772"
AB,Lupșeni,"387988,525332"
AB,Măgura,"387522,527151"
AB,Mesentea,"392252,522427"
AB,Oiejdea,"394513,518462"
AB,Poiana Galdei,"386790,527914"
AB,Răicani,"384156,530906"
AB,Zăgriș,"387519,526283"
AB,Gârbova,"400989,485289"
AB,Cărpiniș,"396000,482163"
AB,Reciu,"397136,485985"
AB,Gârda de Sus,"333372,552965"
AB,Biharia,"328585,550015"
AB,Dealu Frumos,"333429,556513"
AB,Dealu Ordâncușii,"334265,559172"
AB,Dobrești,"332689,554489"
AB,Ghețari,"332818,557056"
AB,Gârda Seacă,"332005,555418"
AB,Hanășești,"333173,556045"
AB,Huzărești,"334441,551721"
AB,Izvoarele,"333847,553304"
AB,Munună,"333776,554563"
AB,Ocoale,"332115,558894"
AB,Plai,"332740,551191"
AB,Pliști,"331096,556396"
AB,Scoarța,"328571,550964"
AB,Sucești,"330660,550934"
AB,Snide,"330415,552257"
AB,Hopârta,"413184,536326"
AB,Silivaș,"413478,538561"
AB,Șpălnaca,"415977,538498"
AB,Turdaș,"416700,534595"
AB,Vama Seacă,"418573,539045"
AB,Horea,"342713,557871"
AB,Baba,"343856,557853"
AB,Butești,"342218,558666"
AB,Dârlești,"340758,559545"
AB,Fericet,"341928,556200"
AB,Giurgiuț,"342749,559976"
AB,Măncești,"343128,556904"
AB,Mătișești,"339046,558682"
AB,Niculești,"343281,558112"
AB,Pătrușești,"344753,560240"
AB,Petreasa,"342228,561570"
AB,Preluca,"344766,558683"
AB,Teiu,"345236,558461"
AB,Trifești,"341289,560564"
AB,Zânzești,"343318,561291"
AB,Ighiu,"385431,517232"
AB,Bucerdea Vânoasă,"386420,519195"
AB,Ighiel,"382574,517436"
AB,Șard,"386824,515282"
AB,Țelna,"384245,518762"
AB,Întregalde,"377519,527634"
AB,Dealu Geoagiului,"379130,532364"
AB,Ghioncani,"371125,528195"
AB,Iliești,"375712,531684"
AB,Ivăniș,"375879,526459"
AB,Mărinești,"376105,531321"
AB,Modolești,"378432,528970"
AB,Necrilești,"373925,524613"
AB,Popești,"376307,529898"
AB,Sfârcea,"369534,525506"
AB,Tecșești,"382787,531632"
AB,Jidvei,"431477,525087"
AB,Bălcaciu,"427561,521677"
AB,Căpâlna de Jos,"431607,527052"
AB,Feisa,"434049,525479"
AB,Veseuș,"433940,530868"
AB,Livezile,"394988,539674"
AB,Izvoarele,"387498,545616"
AB,Poiana Aiudului,"392755,541502"
AB,Vălișoara,"389601,544045"
AB,Lopadea Nouă,"409020,533004"
AB,Asinip,"414419,533682"
AB,Beța,"408675,528864"
AB,Băgău,"407125,535207"
AB,Cicârd,"415735,531108"
AB,Ciuguzel,"412068,532124"
AB,Ocnișoara,"413432,528765"
AB,Odverem,"410464,529375"
AB,Lunca Mureșului,"416101,548272"
AB,Gura Arieșului,"419871,548277"
AB,Lupșa,"361996,542538"
AB,Bârdești,"360495,536025"
AB,Bârzan,"364207,541503"
AB,Curmătură,"362544,538975"
AB,După Deal,"358599,538982"
AB,Geamăna,"362387,538021"
AB,Hădărău,"361930,542014"
AB,Holobani,"364061,537111"
AB,Lazuri,"359458,539580"
AB,Lunca,"362992,543625"
AB,Mănăstire,"359337,544132"
AB,Mărgaia,"363801,541943"
AB,Mușca,"359289,541256"
AB,Pițiga,"359135,543064"
AB,Pârâu-Cărbunări,"362195,540987"
AB,Poșogani,"361222,542088"
AB,Șasa,"362018,537626"
AB,Trifești,"361506,537217"
AB,Valea Holhorii,"361350,537010"
AB,Valea Lupșii,"363680,543831"
AB,Valea Șesii,"364522,543432"
AB,Văi,"362037,540094"
AB,Vința,"363396,536685"
AB,Meteș,"378227,512017"
AB,Ampoița,"380227,514236"
AB,Isca,"376807,512857"
AB,Lunca Ampoiței,"375260,516818"
AB,Lunca Meteșului,"373815,516814"
AB,Pădurea,"383062,512047"
AB,Poiana Ampoiului,"375826,511132"
AB,Poiana Ursului,"379187,509285"
AB,Presaca Ampoiului,"370887,512113"
AB,Remetea,"378509,514538"
AB,Tăuți,"381550,511815"
AB,Văleni,"378410,511537"
AB,Mihalț,"401729,518642"
AB,Cistei,"403802,521492"
AB,Obreja,"404697,520139"
AB,Zărieș,"400206,521232"
AB,Mirăslău,"400613,541563"
AB,Cicău,"398455,545293"
AB,Decea,"404974,543346"
AB,Lopadea Veche,"397227,542863"
AB,Ormeniș,"401424,544885"
AB,Rachiș,"394367,544795"
AB,Mogoș,"367491,532054"
AB,Bărbești,"371476,532019"
AB,Bârlești,"368083,530535"
AB,Bârlești-Cătun,"375332,533253"
AB,Bârzogani,"372716,535251"
AB,Bocești,"372649,532910"
AB,Bogdănești,"372748,533749"
AB,Butești,"372828,534388"
AB,Cojocani,"374297,532729"
AB,Cristești,"369351,532472"
AB,Mămăligani,"367423,534026"
AB,Negrești,"370470,531238"
AB,Oncești,"378027,534705"
AB,Poienile-Mogoș,"364700,532216"
AB,Tomești,"374006,534563"
AB,Valea Bârluțești,"366768,535026"
AB,Valea Barnii,"372138,531311"
AB,Valea Cocești,"368183,534386"
AB,Valea Giogești,"367829,535631"
AB,Valea Mlacii,"367071,527350"
AB,Valea Țupilor,"366170,530727"
AB,Noșlac,"417826,545652"
AB,Căptălan,"418752,546036"
AB,Copand,"421695,547192"
AB,Găbud,"424133,545957"
AB,Stâna de Mureș,"422943,547756"
AB,Valea Ciuciului,"422695,545833"
AB,Ocoliș,"382362,554278"
AB,Lunca Largă,"379332,559557"
AB,Runc,"381313,556840"
AB,Vidolm,"386008,554525"
AB,Ohaba,"406369,508556"
AB,Colibi,"406146,513151"
AB,Măghierat,"408660,506565"
AB,Secășel,"407979,511250"
AB,Pianu de Sus,"382367,489597"
AB,Pianu de Jos,"382857,493919"
AB,Plaiuri,"384380,482956"
AB,Purcăreți,"382670,482253"
AB,Strungari,"383812,485262"
AB,Poiana Vadului,"337247,546139"
AB,Costești,"335253,547331"
AB,Duduieni,"335691,546773"
AB,Făgetu de Jos,"339119,546921"
AB,Făgetu de Sus,"333771,546364"
AB,Hănășești,"334942,545732"
AB,Lupăiești,"339445,547756"
AB,Morcănești,"340079,547590"
AB,Păștești,"333347,547328"
AB,Petelei,"333423,548778"
AB,Stănești,"337181,548004"
AB,Ponor,"377030,538478"
AB,Dupa Deal,"379582,536103"
AB,Geogel,"375383,535686"
AB,Măcărești,"376447,533853"
AB,Valea Bucurului,"374540,537071"
AB,Vale In Jos,"379608,540023"
AB,Poșaga de Jos,"380155,549065"
AB,Corțești,"369686,551029"
AB,Incești,"368591,552338"
AB,Lunca,"381645,549990"
AB,Orăști,"372416,551350"
AB,Poșaga de Sus,"375760,552691"
AB,Sagagea,"370615,555465"
AB,Rădești,"401634,531121"
AB,Leorinț,"401749,529017"
AB,Meșcreac,"402869,527705"
AB,Șoimuș,"406560,526038"
AB,Râmetea,"390060,551361"
AB,Colțești,"389558,548015"
AB,Râmeț,"386716,536001"
AB,Boțani,"379546,532948"
AB,Brădești,"382222,538122"
AB,Cheia,"381109,534534"
AB,Cotorăști,"388075,537806"
AB,Florești,"384279,538545"
AB,Olteni,"386994,539092"
AB,Valea Făgetului,"385722,536569"
AB,Valea Inzelului,"385080,537977"
AB,Valea Mănăstirii,"386229,534558"
AB,Valea Poienii,"382405,539560"
AB,Valea Uzei,"385273,535845"
AB,Vlădești,"389152,535342"
AB,Roșia Montană,"356273,535770"
AB,Bălmoșești,"353218,535723"
AB,Blidești,"352943,535218"
AB,Bunta,"354760,532519"
AB,Cărpiniș,"350535,537052"
AB,Coasta Henții,"350502,536567"
AB,Corna,"355586,533783"
AB,Curături,"350961,538551"
AB,Dăroaia,"348898,534750"
AB,Gârda-Bărbulești,"355036,538336"
AB,Gura Roșiei,"350394,536222"
AB,Iacobești,"351212,536025"
AB,Ignățești,"352329,536027"
AB,Șoal,"351462,538574"
AB,Țarina,"355662,536520"
AB,Vârtop,"353125,537784"
AB,Roșia de Secaș,"414021,506929"
AB,Tău,"410449,508505"
AB,Ungurei,"409343,502510"
AB,Sălciua de Jos,"378623,545514"
AB,Dealu Caselor,"375963,543534"
AB,Dumești,"379548,542539"
AB,Sălciua de Sus,"377160,544985"
AB,Sub Piatră,"380467,543890"
AB,Valea Largă,"376966,541954"
AB,Săliștea,"375722,490963"
AB,Mărgineni,"377102,491724"
AB,Săliștea-Deal,"377837,490259"
AB,Tărtăria,"376955,493842"
AB,Săsciori,"389519,487484"
AB,Căpâlna,"391605,483871"
AB,Dumbrava,"391738,487940"
AB,Laz,"389865,486356"
AB,Loman,"387668,485208"
AB,Pleși,"389951,479197"
AB,Răchita,"384900,487217"
AB,Sebeșel,"388727,488523"
AB,Tonea,"386045,479457"
AB,Scărișoara,"336999,552984"
AB,Bârlești,"337403,548873"
AB,Botești,"338376,549630"
AB,Fața-Lăzești,"335310,550051"
AB,Florești,"338494,551209"
AB,Lăzești,"339374,548900"
AB,Lespezea,"338965,555041"
AB,Maței,"337446,549781"
AB,Negești,"335747,559208"
AB,Prelucă,"335318,557203"
AB,Runc,"337911,555481"
AB,Sfoartea,"334774,560540"
AB,Știuleți,"340015,552590"
AB,Trâncești,"336344,555721"
AB,Sâncel,"418650,522778"
AB,Iclod,"418138,523917"
AB,Pănade,"419711,525514"
AB,Sântimbru,"395805,516127"
AB,Coșlariu,"398739,518407"
AB,Dumitra,"398181,511591"
AB,Galtiu,"396835,516618"
AB,Totoi,"396255,513645"
AB,Sohodol,"347050,539589"
AB,Băzești,"347093,537234"
AB,Bilănești,"346589,539211"
AB,Bobărești,"345537,539931"
AB,Brădeana,"344953,538196"
AB,Burzonești,"346771,542921"
AB,Deoncești,"346035,535350"
AB,Dilimani,"347396,541376"
AB,Furduiești,"345302,536707"
AB,Gura Sohodol,"348469,541289"
AB,Hoancă,"344427,539794"
AB,Joldișești,"341254,537568"
AB,Lazuri,"347949,542285"
AB,Lehești,"344724,535726"
AB,Luminești,"341565,538276"
AB,Medrești,"342321,534889"
AB,Morărești,"347876,539323"
AB,Munești,"345993,534192"
AB,Năpăiești,"347009,540792"
AB,Nelegești,"346486,540149"
AB,Nicorești,"346995,537777"
AB,Peleș,"344770,539342"
AB,Poiana,"343803,535287"
AB,Robești,"345508,534923"
AB,Sicoiești,"344921,540074"
AB,Surdești,"346246,537829"
AB,Sebișești,"345642,540575"
AB,Șimocești,"346119,536547"
AB,Toci,"344358,534694"
AB,Valea Verde,"342122,536618"
AB,Vlădoșești,"347752,540153"
AB,Stremț,"395194,525588"
AB,Fața Pietrii,"385812,532855"
AB,Geoagiu de Sus,"391505,529246"
AB,Geomal,"393781,529974"
AB,Șibot,"370986,494522"
AB,Balomiru de Câmp,"372939,494504"
AB,Băcăinți,"366911,495009"
AB,Sărăcsău,"368901,495186"
AB,Șona,"424152,524758"
AB,Alecuș,"422804,532856"
AB,Biia,"423234,526148"
AB,Doptău,"417302,529965"
AB,Lunca Târnavei,"421831,524770"
AB,Sânmiclăuș,"427258,527966"
AB,Valea Sasului,"425162,532088"
AB,Șpring,"405285,497886"
AB,Carpen,"399938,497067"
AB,Carpenii de Sus,"399905,500009"
AB,Cunța,"400956,492466"
AB,Drașov,"402563,493907"
AB,Vingard,"402983,502227"
AB,Șugag,"393252,475978"
AB,Arți,"391170,472383"
AB,Bârsana,"388383,473791"
AB,Dobra,"394409,475243"
AB,Jidoștina,"390025,469516"
AB,Mărtinie,"390358,477802"
AB,Tău Bistra,"389781,465803"
AB,Teiuș,"397789,523932"
AB,Beldiu,"401046,527095"
AB,Căpud,"401879,523681"
AB,Coșlariu Nou,"398258,520367"
AB,Pețelca,"402680,525434"
AB,Unirea,"408755,545564"
AB,Ciugudu de Jos,"403523,547295"
AB,Ciugudu de Sus,"401043,548090"
AB,Dumbrava,"405691,549144"
AB,Inoc,"406876,543545"
AB,Măhăceni,"403495,550513"
AB,Vadu Moților,"343664,545899"
AB,Bodești,"345501,547716"
AB,Burzești,"342367,546699"
AB,Dealu Frumos,"344249,548976"
AB,Lăzești,"341633,548705"
AB,Necșești,"345435,545166"
AB,Poduri-Bricești,"342913,547921"
AB,Popeștii de Jos,"342924,546338"
AB,Popeștii de Sus,"341539,548120"
AB,Tomuțești,"340774,548000"
AB,Toțești,"341205,549328"
AB,Vâltori,"341734,546988"
AB,Valea Lungă,"426240,514436"
AB,Făget,"435566,517350"
AB,Glogoveț,"423449,516969"
AB,Lodroman,"428447,513520"
AB,Lunca,"428195,512116"
AB,Tăuni,"432933,517111"
AB,Vidra,"337539,543010"
AB,Băi,"339589,539484"
AB,Bobărești,"345811,542763"
AB,Bogdănești,"345357,542488"
AB,Bordeștii Poieni,"340426,541546"
AB,Culdești,"342497,544345"
AB,Dealu Goiești,"340087,545796"
AB,Dos,"343123,543114"
AB,Dosu Luncii,"339055,542703"
AB,Dosu Văsești,"335812,543084"
AB,Drăgoiești-Luncă,"344717,542658"
AB,Ficărești,"343263,544637"
AB,Gligorești,"334280,544948"
AB,Goiești,"340393,544018"
AB,Haiducești,"340797,545913"
AB,Hărăști,"338382,540979"
AB,Hoancă,"339870,540324"
AB,Jeflești,"337008,544473"
AB,Lunca,"339255,543652"
AB,Lunca Bisericii,"336953,543023"
AB,Lunca de Jos,"338427,543433"
AB,Lunca Goiești,"339613,543869"
AB,Lunca Vesești,"341933,544062"
AB,Modolești,"336586,544161"
AB,Nemeși,"336836,542739"
AB,Oidești,"341565,544233"
AB,Pitărcești,"346200,543103"
AB,Pleșcuța,"342537,542221"
AB,Poieni,"339199,540703"
AB,Ponorel,"343649,543039"
AB,Puiulețești,"345099,543574"
AB,Runc,"345747,544076"
AB,Segaj,"335406,544642"
AB,Urdeș,"341770,543285"
AB,Valea Morii,"343214,541938"
AB,Văsești,"338781,544222"
AB,Vâlcăneasa,"341386,542749"
AB,Vâlcești,"336961,545242"
AB,Vârtănești,"342689,543449"
AB,Vințu de Jos,"382717,500342"
AB,Ciocașu,"381896,505711"
AB,Câmpu Goblii,"379862,501084"
AB,Crișeni,"383174,505724"
AB,Dealu Ferului,"379142,501336"
AB,Gura Cuțului,"377031,505421"
AB,Hațegana,"379494,505138"
AB,Inuri,"380423,506110"
AB,Laz,"377681,506997"
AB,Mătăcina,"378187,505321"
AB,Mereteu,"378166,500335"
AB,Pârău lui Mihai,"382777,502556"
AB,Poienița,"380515,504735"
AB,Stăuini,"383144,504755"
AB,Valea Goblii,"381147,501039"
AB,Valea lui Mihai,"381566,504048"
AB,Valea Vințului,"380457,503119"
AB,Vurpăr,"381857,501666"
AR,Arad,"215471,527616"
AR,Fântânele,"220717,520190"
AR,Aluniș,"228844,516319"
AR,Frumușeni,"226528,517474"
AR,Tisa Nouă,"219650,515564"
AR,Livada,"221323,531449"
AR,Sânleani,"221444,529942"
AR,Șofronea,"215913,537529"
AR,Sânpaul,"212425,535414"
AR,Vladimirescu,"222563,524475"
AR,Cicir,"228267,522260"
AR,Horia,"227144,529238"
AR,Mândruloc,"227067,522582"
AR,Chișineu-Criș,"232524,563683"
AR,Nadab,"232251,559448"
AR,Curtici,"216093,544779"
AR,Dorobanți,"211043,545754"
AR,Ineu,"257342,552158"
AR,Mocrea,"255651,547968"
AR,Lipova,"244642,515337"
AR,Radna,"243925,515826"
AR,Șoimoș,"246503,517078"
AR,Nădlac,"171831,527292"
AR,Pâncota,"245364,541884"
AR,Măderat,"246705,538019"
AR,Sebiș,"279420,545355"
AR,Donceni,"282935,547381"
AR,Prunișor,"278818,550605"
AR,Sălăjeni,"283708,544691"
AR,Almaș,"286741,535364"
AR,Cil,"289218,535158"
AR,Joia Mare,"282778,537212"
AR,Rădești,"288204,533729"
AR,Apateu,"253229,574188"
AR,Berechiu,"258638,575834"
AR,Moțiori,"258983,573293"
AR,Archiș,"273752,557308"
AR,Bârzești,"279895,557923"
AR,Groșeni,"278859,559310"
AR,Nermiș,"276041,556630"
AR,Bata,"270768,506173"
AR,Bacău de Mijloc,"275195,501565"
AR,Bulci,"275977,504514"
AR,Țela,"272948,502760"
AR,Beliu,"268791,559034"
AR,Benești,"270187,563386"
AR,Bochia,"270542,564908"
AR,Vasile Goldiș,"264874,563204"
AR,Secaci,"273086,568009"
AR,Tăgădău,"270017,560824"
AR,Birchiș,"280712,500001"
AR,Căpălnaș,"284939,500927"
AR,Ostrov,"277975,500901"
AR,Virismort,"278835,500376"
AR,Bârsa,"275026,546897"
AR,Aldești,"272554,548094"
AR,Hodiș,"271349,544082"
AR,Voivodeni,"272000,548590"
AR,Bârzava,"267696,516224"
AR,Bătuța,"272180,509798"
AR,Căpruța,"270131,514169"
AR,Dumbrăvița,"274516,514734"
AR,Groșii Noi,"277528,517321"
AR,Lalașinț,"268710,512264"
AR,Monoroștia,"269197,515973"
AR,Slatina de Mureș,"282586,521196"
AR,Bocsig,"265108,551464"
AR,Mânerău,"268536,550369"
AR,Răpsig,"271076,551048"
AR,Brazii,"294598,530256"
AR,Buceava-Șoimuș,"294933,526002"
AR,Iacobini,"295028,529159"
AR,Mădrigești,"292154,526186"
AR,Secaș,"292138,528966"
AR,Buteni,"278290,540772"
AR,Berindia,"281358,539584"
AR,Cuied,"270777,541896"
AR,Păulian,"281218,541113"
AR,Cărand,"276364,553570"
AR,Seliștea,"271683,556055"
AR,Cermei,"258166,565747"
AR,Avram Iancu,"263693,564662"
AR,Șomoșcheș,"258505,568609"
